match_id,set,w_games,l_games,w_tb_pt,l_tb_pt,w_tbs,l_tbs
153015,3,6,1,,,,
153016,1,4,6,,,,
153016,2,6,3,,,,
153016,3,7,6,7,5,1,
153016,4,6,3,,,,
153017,1,6,3,,,,
153017,2,6,3,,,,
153017,3,6,1,,,,
153018,1,7,5,,,,
153018,2,6,2,,,,
153018,3,6,1,,,,
153019,1,6,4,,,,
153019,2,6,2,,,,
153019,3,6,0,,,,
153020,1,6,2,,,,
153020,2,7,5,,,,
153020,3,5,7,,,,
153020,4,1,6,,,,
153020,5,6,4,,,,
153021,1,4,6,,,,
153021,2,7,6,7,3,1,
153021,3,7,6,7,4,1,
153021,4,6,3,,,,
153022,1,6,2,,,,
153022,2,6,2,,,,
153022,3,6,2,,,,
153023,1,6,3,,,,
153023,2,6,2,,,,
153023,3,7,6,7,3,1,
153024,1,6,2,,,,
153024,2,6,3,,,,
153024,3,6,0,,,,
153025,1,4,6,,,,
153025,2,7,6,7,0,1,
153025,3,7,6,8,6,1,
153025,4,2,6,,,,
153025,5,6,3,,,,
153026,1,7,6,8,6,1,
153026,2,7,5,,,,
153026,3,6,3,,,,
153027,1,7,6,7,5,1,
153027,2,7,6,7,1,1,
153027,3,6,1,,,,
153028,1,7,6,7,2,1,
153028,2,6,2,,,,
153028,3,6,4,,,,
153029,1,6,3,,,,
153029,2,6,7,3,7,,1
153029,3,6,4,,,,
153029,4,6,7,0,7,,1
153029,5,6,1,,,,
153030,1,6,2,,,,
153030,2,6,4,,,,
153030,3,6,2,,,,
153031,1,6,1,,,,
153031,2,6,3,,,,
153031,3,4,6,,,,
153031,4,6,3,,,,
153032,1,6,4,,,,
153032,2,6,4,,,,
153032,3,6,1,,,,
153033,1,6,1,,,,
153033,2,6,1,,,,
153033,3,1,0,,,,
153034,1,2,6,,,,
153034,2,6,2,,,,
153034,3,6,1,,,,
153034,4,3,6,,,,
153034,5,6,3,,,,
153035,1,6,4,,,,
153035,2,6,2,,,,
153035,3,6,1,,,,
153036,1,6,4,,,,
153036,2,6,2,,,,
153036,3,6,2,,,,
153037,1,4,6,,,,
153037,2,7,6,7,5,1,
153037,3,7,6,7,3,1,
153037,4,7,6,7,2,1,
153038,1,6,4,,,,
153038,2,6,4,,,,
153038,3,6,2,,,,
153039,1,6,4,,,,
153039,2,7,6,7,4,1,
153039,3,6,1,,,,
153040,1,6,3,,,,
153040,2,6,3,,,,
153040,3,6,1,,,,
153041,1,6,4,,,,
153041,2,6,3,,,,
153041,3,6,2,,,,
153042,1,6,7,5,7,,1
153042,2,7,6,8,6,1,
153042,3,6,4,,,,
153042,4,6,3,,,,
153043,1,6,3,,,,
153043,2,3,6,,,,
153043,3,6,7,4,7,,1
153043,4,6,1,,,,
153043,5,7,5,,,,
153044,1,6,7,5,7,,1
153044,2,6,2,,,,
153044,3,7,6,7,5,1,
153044,4,6,4,,,,
153045,1,5,7,,,,
153045,2,6,4,,,,
153045,3,6,2,,,,
153045,4,6,7,5,7,,1
153045,5,7,5,,,,
155927,1,6,3,,,,
155927,2,6,2,,,,
155927,3,6,4,,,,
155928,1,5,7,,,,
155928,2,4,6,,,,
155928,3,6,3,,,,
155928,4,6,3,,,,
155928,5,7,5,,,,
155929,1,6,7,2,7,,1
155929,2,6,4,,,,
155929,3,6,2,,,,
155929,4,6,4,,,,
155930,1,7,6,7,4,1,
155930,2,6,3,,,,
155930,3,6,7,0,7,,1
155930,4,3,6,,,,
155930,5,6,2,,,,
155931,1,6,1,,,,
155931,2,6,4,,,,
155931,3,6,1,,,,
155932,1,6,2,,,,
155932,2,6,4,,,,
155932,3,6,3,,,,
155933,1,7,6,7,3,1,
155933,2,6,1,,,,
155933,3,6,1,,,,
155934,1,3,6,,,,
155934,2,7,6,7,3,1,
155934,3,6,3,,,,
155934,4,6,4,,,,
155935,1,6,3,,,,
155935,2,6,1,,,,
155935,3,6,2,,,,
155936,1,6,3,,,,
155936,2,3,6,,,,
155936,3,4,6,,,,
155936,4,6,3,,,,
155936,5,6,4,,,,
155937,1,6,1,,,,
155937,2,6,1,,,,
155937,3,6,2,,,,
155938,1,6,0,,,,
155938,2,2,6,,,,
155938,3,6,4,,,,
155938,4,3,6,,,,
155938,5,6,1,,,,
155939,1,4,6,,,,
155939,2,7,6,7,4,1,
155939,3,6,1,,,,
155939,4,6,2,,,,
155940,1,6,3,,,,
155940,2,7,5,,,,
155940,3,6,3,,,,
155941,1,6,3,,,,
155941,2,6,4,,,,
155941,3,6,2,,,,
155942,1,6,4,,,,
155942,2,7,6,7,5,1,
155942,3,7,5,,,,
155943,1,6,4,,,,
155943,2,6,4,,,,
155943,3,3,6,,,,
155943,4,0,6,,,,
155943,5,7,5,,,,
155944,1,6,7,0,7,,1
155944,2,7,6,7,4,1,
155944,3,6,4,,,,
155944,4,3,6,,,,
155944,5,6,3,,,,
155945,1,4,6,,,,
155945,2,6,7,0,7,,1
155945,3,6,2,,,,
155945,4,7,6,7,4,1,
155945,5,6,3,,,,
155946,1,6,4,,,,
155946,2,6,4,,,,
155946,3,6,2,,,,
155947,1,1,6,,,,
155947,2,7,6,7,5,1,
155947,3,7,6,7,4,1,
155947,4,6,2,,,,
155948,1,6,7,5,7,,1
155948,2,6,3,,,,
155948,3,6,1,,,,
155948,4,6,3,,,,
155949,1,7,5,,,,
155949,2,6,7,4,7,,1
155949,3,6,2,,,,
155949,4,6,7,6,8,,1
155949,5,6,2,,,,
155950,1,6,7,4,7,,1
155950,2,6,4,,,,
155950,3,6,0,,,,
155950,4,4,6,,,,
155950,5,6,4,,,,
155951,1,6,3,,,,
155951,2,6,2,,,,
155951,3,6,3,,,,
155952,1,7,5,,,,
155952,2,6,4,,,,
155952,3,6,3,,,,
155953,1,6,4,,,,
155953,2,6,2,,,,
155953,3,6,4,,,,
155954,1,6,3,,,,
155954,2,6,7,5,7,,1
155954,3,2,6,,,,
155954,4,7,5,,,,
155954,5,11,9,,,,
155955,1,6,2,,,,
155955,2,6,4,,,,
155955,3,7,6,7,3,1,
155956,1,7,6,7,4,1,
155956,2,7,5,,,,
155956,3,6,3,,,,
155957,1,6,1,,,,
155957,2,6,2,,,,
155957,3,6,2,,,,
155958,1,4,6,,,,
155958,2,6,3,,,,
155958,3,7,5,,,,
155958,4,7,6,7,1,1,
155959,1,7,6,7,5,1,
155959,2,6,7,3,7,,1
155959,3,6,2,,,,
155959,4,6,1,,,,
155960,1,7,6,8,6,1,
155960,2,7,6,7,5,1,
155960,3,1,0,,,,
155961,1,6,2,,,,
155961,2,6,4,,,,
155961,3,6,2,,,,
155962,1,4,6,,,,
155962,2,6,3,,,,
155962,3,6,4,,,,
155962,4,6,2,,,,
155963,1,6,4,,,,
155963,2,6,4,,,,
155963,3,3,6,,,,
155963,4,6,2,,,,
155964,1,6,4,,,,
155964,2,7,5,,,,
155964,3,6,2,,,,
155965,1,2,6,,,,
155965,2,6,3,,,,
155965,3,6,2,,,,
155965,4,6,2,,,,
155966,1,7,6,7,5,1,
155966,2,6,7,2,7,,1
155966,3,6,4,,,,
155966,4,6,4,,,,
155967,1,6,2,,,,
155967,2,6,1,,,,
155967,3,4,6,,,,
155967,4,6,1,,,,
155968,1,6,7,7,9,,1
155968,2,7,6,7,4,1,
155968,3,6,3,,,,
155968,4,6,3,,,,
155969,1,2,6,,,,
155969,2,3,6,,,,
155969,3,6,2,,,,
155969,4,7,6,14,12,1,
155969,5,6,1,,,,
155970,1,6,2,,,,
155970,2,7,6,7,4,1,
155970,3,7,5,,,,
155971,1,6,4,,,,
155971,2,6,1,,,,
155971,3,6,4,,,,
155972,1,6,3,,,,
155972,2,6,1,,,,
155972,3,6,3,,,,
155973,1,6,4,,,,
155973,2,7,5,,,,
155973,3,6,2,,,,
155974,1,6,7,4,7,,1
155974,2,6,3,,,,
155974,3,6,2,,,,
155974,4,6,3,,,,
155975,1,6,4,,,,
155975,2,7,6,10,8,1,
155975,3,4,6,,,,
155975,4,5,7,,,,
155975,5,8,6,,,,
155976,1,6,3,,,,
155976,2,6,1,,,,
155976,3,6,3,,,,
155977,1,7,6,7,3,1,
155977,2,4,6,,,,
155977,3,6,3,,,,
155977,4,4,6,,,,
155977,5,8,6,,,,
155978,1,7,5,,,,
155978,2,4,6,,,,
155978,3,6,3,,,,
155978,4,6,3,,,,
155979,1,6,4,,,,
155979,2,7,5,,,,
155979,3,6,4,,,,
155980,1,7,5,,,,
155980,2,6,2,,,,
155980,3,6,1,,,,
155981,1,3,6,,,,
155981,2,6,1,,,,
155981,3,6,2,,,,
155981,4,7,6,7,0,1,
155982,1,7,6,7,5,1,
155982,2,7,5,,,,
155982,3,6,2,,,,
155983,1,7,6,7,2,1,
155983,2,7,5,,,,
155983,3,6,2,,,,
155984,1,6,2,,,,
155984,2,6,3,,,,
155984,3,6,4,,,,
155985,1,6,3,,,,
155985,2,3,6,,,,
155985,3,6,3,,,,
155985,4,6,4,,,,
155986,1,6,3,,,,
155986,2,6,2,,,,
155986,3,6,3,,,,
155987,1,3,6,,,,
155987,2,6,1,,,,
155987,3,7,5,,,,
155987,4,6,3,,,,
155988,1,6,2,,,,
155988,2,6,4,,,,
155988,3,6,1,,,,
155989,1,6,1,,,,
155989,2,6,2,,,,
155989,3,6,3,,,,
155990,1,6,2,,,,
155990,2,6,2,,,,
155990,3,6,4,,,,
155991,1,6,7,2,7,,1
155991,2,1,1,,,,
155992,1,6,3,,,,
155992,2,7,6,7,4,1,
155993,1,6,1,,,,
155993,2,7,5,,,,
155993,3,6,4,,,,
155994,1,6,1,,,,
155994,2,6,3,,,,
155994,3,6,2,,,,
155995,1,6,7,4,7,,1
155995,2,6,3,,,,
155995,3,6,7,3,7,,1
155995,4,6,3,,,,
155995,5,6,2,,,,
155996,1,6,2,,,,
155996,2,6,2,,,,
155996,3,6,4,,,,
155997,1,6,0,,,,
155997,2,7,5,,,,
155997,3,4,6,,,,
155997,4,6,3,,,,
155998,1,3,6,,,,
155998,2,6,3,,,,
155998,3,6,2,,,,
155998,4,6,2,,,,
155999,1,3,6,,,,
155999,2,7,6,7,4,1,
155999,3,6,2,,,,
155999,4,3,6,,,,
155999,5,6,3,,,,
156000,1,7,6,7,4,1,
156000,2,6,4,,,,
156000,3,6,1,,,,
156001,1,6,4,,,,
156001,2,6,1,,,,
156001,3,6,2,,,,
156002,1,6,7,10,12,,1
156002,2,3,6,,,,
156002,3,6,1,,,,
156002,4,6,0,,,,
156002,5,7,5,,,,
156003,1,4,6,,,,
156003,2,7,5,,,,
156003,3,7,6,7,5,1,
156003,4,7,6,7,5,1,
156004,1,6,3,,,,
156004,2,6,4,,,,
156004,3,3,6,,,,
156004,4,4,6,,,,
156004,5,7,5,,,,
156005,1,6,2,,,,
156005,2,6,4,,,,
156005,3,6,2,,,,
156006,1,6,3,,,,
156006,2,3,6,,,,
156006,3,6,1,,,,
156006,4,6,2,,,,
156007,1,7,6,7,4,1,
156007,2,5,7,,,,
156007,3,6,7,3,7,,1
156007,4,7,6,7,3,1,
156007,5,6,2,,,,
156008,1,7,5,,,,
156008,2,6,2,,,,
156008,3,6,4,,,,
156009,1,2,6,,,,
156009,2,6,3,,,,
156009,3,7,6,7,4,1,
156009,4,6,2,,,,
156010,1,7,6,7,5,1,
156010,2,4,6,,,,
156010,3,0,6,,,,
156010,4,6,1,,,,
156010,5,8,6,,,,
156011,1,6,2,,,,
156011,2,6,3,,,,
156011,3,6,1,,,,
156012,1,6,2,,,,
156012,2,6,2,,,,
156012,3,6,4,,,,
156013,1,6,3,,,,
156013,2,7,6,7,1,1,
156013,3,6,3,,,,
156014,1,3,6,,,,
156014,2,6,3,,,,
156014,3,6,4,,,,
156014,4,6,7,3,7,,1
156014,5,10,8,,,,
156015,1,6,3,,,,
156015,2,6,7,4,7,,1
156015,3,6,3,,,,
156015,4,6,7,4,7,,1
156015,5,6,1,,,,
156016,1,6,3,,,,
156016,2,6,2,,,,
156016,3,6,2,,,,
156017,1,7,6,7,2,1,
156017,2,6,2,,,,
156017,3,6,3,,,,
156018,1,6,2,,,,
156018,2,7,6,7,4,1,
156018,3,6,4,,,,
156019,1,6,7,4,7,,1
156019,2,7,5,,,,
156019,3,7,6,7,3,1,
156019,4,7,6,10,8,1,
156020,1,6,3,,,,
156020,2,6,4,,,,
156020,3,6,4,,,,
156021,1,6,4,,,,
156021,2,6,3,,,,
156021,3,7,5,,,,
156022,1,7,6,8,6,1,
156022,2,7,5,,,,
156022,3,6,4,,,,
156023,1,4,6,,,,
156023,2,6,3,,,,
156023,3,4,6,,,,
156023,4,7,6,7,4,1,
156023,5,6,2,,,,
156024,1,6,3,,,,
156024,2,6,2,,,,
156024,3,6,2,,,,
156025,1,6,4,,,,
156025,2,6,2,,,,
156025,3,6,3,,,,
156026,1,7,6,7,3,1,
156026,2,6,2,,,,
156026,3,6,3,,,,
156027,1,7,6,7,3,1,
156027,2,7,6,7,4,1,
156027,3,6,1,,,,
156028,1,3,6,,,,
156028,2,6,4,,,,
156028,3,2,6,,,,
156028,4,6,4,,,,
156028,5,6,3,,,,
156029,1,6,3,,,,
156029,2,6,3,,,,
156029,3,6,7,3,7,,1
156029,4,3,6,,,,
156029,5,6,3,,,,
156030,1,6,7,2,7,,1
156030,2,6,3,,,,
156030,3,2,6,,,,
156030,4,6,4,,,,
156030,5,6,2,,,,
156031,1,6,4,,,,
156031,2,6,4,,,,
156031,3,4,6,,,,
156031,4,1,6,,,,
156031,5,8,6,,,,
156032,1,6,3,,,,
156032,2,6,4,,,,
156032,3,7,5,,,,
156033,1,6,2,,,,
156033,2,6,1,,,,
156033,3,6,4,,,,
156034,1,4,6,,,,
156034,2,6,3,,,,
156034,3,7,6,7,2,1,
156034,4,6,0,,,,
156035,1,7,6,7,4,1,
156035,2,6,3,,,,
156035,3,6,4,,,,
156036,1,6,4,,,,
156036,2,7,6,7,5,1,
156036,3,6,1,,,,
156037,1,1,6,,,,
156037,2,7,5,,,,
156037,3,6,4,,,,
156037,4,6,7,5,7,,1
156037,5,12,10,,,,
156038,1,6,3,,,,
156038,2,6,2,,,,
156038,3,7,6,15,13,1,
156039,1,6,2,,,,
156039,2,6,1,,,,
156039,3,6,4,,,,
156040,1,6,2,,,,
156040,2,5,1,,,,
156041,1,5,7,,,,
156041,2,6,3,,,,
156041,3,6,2,,,,
156041,4,6,2,,,,
156042,1,6,3,,,,
156042,2,6,1,,,,
156042,3,6,3,,,,
156043,1,6,4,,,,
156043,2,3,6,,,,
156043,3,6,3,,,,
156043,4,6,2,,,,
156044,1,6,4,,,,
156044,2,7,6,7,4,1,
156044,3,6,2,,,,
156045,1,6,1,,,,
156045,2,4,6,,,,
156045,3,6,1,,,,
156045,4,6,4,,,,
156046,1,4,6,,,,
156046,2,4,6,,,,
156046,3,7,5,,,,
156046,4,7,6,7,4,1,
156046,5,6,2,,,,
156047,1,6,4,,,,
156047,2,6,1,,,,
156047,3,6,2,,,,
156048,1,7,6,7,4,1,
156048,2,4,6,,,,
156048,3,7,6,7,4,1,
156048,4,3,6,,,,
156048,5,6,3,,,,
156049,1,6,2,,,,
156049,2,6,2,,,,
156049,3,6,1,,,,
156050,1,6,4,,,,
156050,2,6,7,5,7,,1
156050,3,6,3,,,,
156050,4,6,7,2,7,,1
156050,5,6,2,,,,
156051,1,6,7,2,7,,1
156051,2,7,6,7,3,1,
156051,3,6,3,,,,
156051,4,6,2,,,,
155925,1,6,2,,,,
155925,2,6,4,,,,
155925,3,7,5,,,,
155926,1,2,6,,,,
155926,2,6,4,,,,
155926,3,7,5,,,,
155926,4,6,4,,,,
158869,1,6,4,,,,
158870,1,7,6,7,4,1,
158870,2,0,6,,,,
158870,3,7,6,7,3,1,
158870,4,6,2,,,,
158871,1,7,6,7,5,1,
158871,2,5,7,,,,
158871,3,6,2,,,,
158871,4,6,4,,,,
158872,1,6,4,,,,
158872,2,6,4,,,,
158872,3,6,4,,,,
158873,1,7,6,7,4,1,
158873,2,6,3,,,,
158873,3,5,7,,,,
158873,4,5,7,,,,
158873,5,7,5,,,,
158874,1,6,7,4,7,,1
158874,2,7,6,7,2,1,
158874,3,6,2,,,,
158874,4,1,0,,,,
158875,1,6,4,,,,
158875,2,7,6,11,9,1,
158875,3,4,6,,,,
158875,4,6,3,,,,
158876,1,6,3,,,,
158876,2,5,7,,,,
158876,3,6,2,,,,
158876,4,4,6,,,,
158876,5,6,2,,,,
158877,1,7,6,7,2,1,
158877,2,6,1,,,,
158877,3,4,6,,,,
158877,4,6,2,,,,
158878,1,7,6,7,5,1,
158878,2,7,6,7,5,1,
158878,3,6,3,,,,
158879,1,6,3,,,,
158879,2,6,2,,,,
158879,3,6,1,,,,
158880,1,6,7,7,9,,1
158880,2,6,4,,,,
158880,3,6,4,,,,
158880,4,6,3,,,,
158881,1,7,6,14,12,1,
158881,2,6,3,,,,
158881,3,6,4,,,,
158882,1,6,3,,,,
158882,2,6,7,5,7,,1
158882,3,6,2,,,,
158882,4,7,6,7,2,1,
158883,1,6,2,,,,
158883,2,6,1,,,,
158883,3,6,1,,,,
158884,1,6,7,1,7,,1
158884,2,6,3,,,,
158884,3,6,4,,,,
158884,4,6,4,,,,
158885,1,6,1,,,,
158885,2,6,1,,,,
158885,3,6,3,,,,
158886,1,7,5,,,,
158886,2,4,6,,,,
158886,3,6,7,4,7,,1
158886,4,6,1,,,,
158886,5,6,3,,,,
158887,1,6,4,,,,
158887,2,7,5,,,,
158887,3,6,1,,,,
158888,1,6,4,,,,
158888,2,6,4,,,,
158888,3,7,6,7,2,1,
158889,1,7,6,7,3,1,
158889,2,6,3,,,,
158889,3,6,0,,,,
158890,1,6,3,,,,
158890,2,7,6,7,4,1,
158890,3,7,5,,,,
158891,1,6,4,,,,
158891,2,6,2,,,,
158891,3,7,5,,,,
158892,1,6,2,,,,
158892,2,7,6,8,6,1,
158893,1,7,5,,,,
158893,2,6,3,,,,
158893,3,6,3,,,,
158894,1,4,6,,,,
158894,2,6,3,,,,
158894,3,7,6,7,5,1,
158895,1,4,6,,,,
158895,2,4,6,,,,
158895,3,6,3,,,,
158895,4,6,3,,,,
158895,5,6,2,,,,
158896,1,6,7,4,7,,1
158896,2,6,4,,,,
158896,3,3,6,,,,
158896,4,6,3,,,,
158896,5,16,14,,,,
158897,1,5,7,,,,
158897,2,6,3,,,,
